symbol,sector,industry,country,shares_outstanding
ECO,Energy,"Oil, Gas & Consumable Fuels",Greece,32890000
ECPG.O,Financials,Consumer Finance,United States of America,23545000
ECVT.K,Materials,Chemicals,United States of America,140744045
ECX.O,Consumer Discretionary,Automobile Components,China,337949965
ED,Utilities,Multi-Utilities,United States of America,381000000
EDIT.O,Health Care,Biotechnology,United States of America,81767263
EDR,Communication Services,Entertainment,United States of America,298698490
EDRY.O,Industrials,Marine Transportation,Greece,2902620
EDTK.O,Consumer Discretionary,Diversified Consumer Services,China,15449451
EE,Energy,"Oil, Gas & Consumable Fuels",United States of America,26284027
EEFT.O,Financials,Financial Services,United States of America,64531692
EEX,Communication Services,Media,United States of America,62915000
EFSC.O,Financials,Banks,United States of America,36988000
EFX,Industrials,Professional Services,United States of America,188700000
EG,Financials,Insurance,Bermuda,74300000
EGBN.O,Financials,Banks,United States of America,30202003
EGO,Materials,Metals & Mining,Canada,204946024
EHAB.K,Health Care,Health Care Providers & Services,United States of America,50167706
EHGO.O,Industrials,Commercial Services & Supplies,China,21735000
EHTH.O,Financials,Insurance,United States of America,41457000
EIG,Financials,Insurance,United States of America,57991004
EIX,Utilities,Electric Utilities,United States of America,383924912
EL,Consumer Staples,Personal Care Products,United States of America,596560598
ELAN.K,Health Care,Pharmaceuticals,United States of America,492845216
ELF,Consumer Staples,Personal Care Products,United States of America,55583660
ELTX.O,Health Care,Biotechnology,United States of America,9618178
ELUT.O,Health Care,Biotechnology,United States of America,23197602
ELV,Health Care,Health Care Providers & Services,United States of America,227479695
ELVN.O,Health Care,Pharmaceuticals,United States of America,41347632
EMBC.O,Health Care,Health Care Equipment & Supplies,United States of America,57707285
EME,Industrials,Construction & Engineering,United States of America,61094042
EMKR.O,Information Technology,Communications Equipment,United States of America,9764000
EML.O,Industrials,Machinery,United States of America,9091815
EMN,Materials,Chemicals,United States of America,223588347
EMR,Industrials,Electrical Equipment,United States of America,953400000
ENFN.K,Information Technology,Software,United States of America,88332000
ENFY.K,Materials,Chemicals,China,14793538
ENLV.O,Health Care,Biotechnology,Israel,18598555
ENOV.K,Health Care,Health Care Equipment & Supplies,United States of America,54597142
ENPH.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,132448000
ENS,Industrials,Electrical Equipment,United States of America,56363924
ENSG.O,Health Care,Health Care Providers & Services,United States of America,60838000
ENTA.O,Health Care,Biotechnology,United States of America,21194000
ENTG.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,151324000
ENVA.K,Financials,Consumer Finance,United States of America,46520916
ENVX.O,Industrials,Electrical Equipment,United States of America,190559335
EOG,Energy,"Oil, Gas & Consumable Fuels",United States of America,588748473
EOLS.O,Health Care,Pharmaceuticals,United States of America,57820621
EOSE.O,Industrials,Electrical Equipment,United States of America,199133827
EPAC.K,Industrials,Machinery,United States of America,54234660
EPAM.K,Information Technology,IT Services,United States of America,56869000
EPC,Consumer Staples,Personal Care Products,United States of America,65251989
EPOW.O,Industrials,Professional Services,China,26141350
EQBK.K,Financials,Banks,United States of America,23034298
EQH,Financials,Financial Services,United States of America,477801636
EQT,Energy,"Oil, Gas & Consumable Fuels",United States of America,596870000
ERAS.O,Health Care,Biotechnology,United States of America,151462103
ERIE.O,Financials,Insurance,United States of America,74400000
ESAB.K,Industrials,Machinery,United States of America,60517574
ESCA.O,Consumer Discretionary,Leisure Products,United States of America,13736800
ESE,Industrials,Machinery,United States of America,30809483
ESEA.O,Industrials,Marine Transportation,Greece,7014331
ESGL.O,Industrials,Commercial Services & Supplies,Singapore,12683039
ESGR.O,Financials,Insurance,Bermuda,15762315
ESI,Materials,Chemicals,United States of America,267200000
ESNT.K,Financials,Financial Services,Bermuda,105015000
ESPR.O,Health Care,Pharmaceuticals,United States of America,120204513
ESQ.O,Financials,Banks,United States of America,8434149
ESSA.O,Financials,Banks,United States of America,18133095
ESTA.O,Health Care,Health Care Equipment & Supplies,Costa Rica,26495250
ESTC.K,Information Technology,Software,Netherlands,101705935
ETD,Consumer Discretionary,Household Durables,United States of America,49550000
ETN,Industrials,Electrical Equipment,Ireland; Republic of,395200000
ETNB.O,Health Care,Biotechnology,United States of America,93269377
ETON.O,Health Care,Pharmaceuticals,United States of America,25688062
ETR,Utilities,Electric Utilities,United States of America,561950696
ETSY.O,Consumer Discretionary,Broadline Retail,United States of America,108540000
ETWO.K,Information Technology,Software,United States of America,306237585
EUDA.O,Health Care,Health Care Providers & Services,Singapore,24627509
EVBN.K,Financials,Banks,United States of America,5643101
EVCM.O,Information Technology,Software,United States of America,186934031
EVER.O,Communication Services,Interactive Media & Services,United States of America,34178517
